epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,108.236,1.36902,1.50247,1.13144,0.94143,0.57815,0.63581,0.39352,1.27729,0.83725,1.10769,0.00047489,0.00047489,0.00047489
2,206.535,1.30436,0.93933,1.10819,0.95307,0.58155,0.63178,0.40536,1.23295,0.76652,1.11222,0.000941806,0.000941806,0.000941806
3,305.352,1.29112,0.86511,1.10982,0.92729,0.56973,0.63105,0.40904,1.24929,0.8253,1.11702,0.00139929,0.00139929,0.00139929
4,402.585,1.26982,0.81103,1.10577,0.94519,0.57256,0.62848,0.40572,1.25625,0.7434,1.11748,0.00138656,0.00138656,0.00138656
5,498.608,1.25849,0.78054,1.10221,0.95222,0.60138,0.64459,0.4248,1.20519,0.66577,1.09614,0.00137241,0.00137241,0.00137241
6,595.476,1.26155,0.76069,1.1042,0.95164,0.60126,0.64302,0.42551,1.2037,0.63692,1.09057,0.00135826,0.00135826,0.00135826
7,694.126,1.23759,0.73471,1.09095,0.95289,0.60704,0.64442,0.4323,1.1931,0.62019,1.09171,0.00134412,0.00134412,0.00134412
8,792.338,1.22209,0.71701,1.08739,0.95128,0.6018,0.64461,0.43221,1.19654,0.61567,1.09219,0.00132997,0.00132997,0.00132997
9,889.461,1.21728,0.70844,1.08268,0.95913,0.60608,0.64836,0.43384,1.19618,0.61461,1.09222,0.00131582,0.00131582,0.00131582
10,987.893,1.21002,0.69535,1.08185,0.95676,0.60999,0.65006,0.43713,1.17889,0.60167,1.08334,0.00130168,0.00130168,0.00130168
11,1084.66,1.20886,0.68731,1.07964,0.95799,0.61197,0.65132,0.43902,1.17652,0.57358,1.07772,0.00128753,0.00128753,0.00128753
12,1183.3,1.19349,0.67001,1.07723,0.96222,0.61049,0.6554,0.44659,1.17815,0.57017,1.08499,0.00127338,0.00127338,0.00127338
13,1280.45,1.19736,0.66543,1.07315,0.95556,0.61312,0.65079,0.43883,1.18148,0.57804,1.08262,0.00125923,0.00125923,0.00125923
14,1376.39,1.19267,0.66157,1.07679,0.9583,0.60953,0.65295,0.43672,1.20855,0.56994,1.10371,0.00124509,0.00124509,0.00124509
15,1474.84,1.17633,0.65258,1.06888,0.95989,0.60976,0.65274,0.42808,1.19081,0.58415,1.08906,0.00123094,0.00123094,0.00123094
16,1572.59,1.17264,0.65026,1.066,0.96321,0.61319,0.6551,0.44158,1.17955,0.55998,1.08906,0.00121679,0.00121679,0.00121679
17,1670.32,1.17471,0.64434,1.06624,0.96006,0.61974,0.65536,0.44707,1.15504,0.53916,1.07913,0.00120265,0.00120265,0.00120265
18,1766.83,1.16675,0.63508,1.06746,0.96368,0.61547,0.65491,0.44584,1.16034,0.5531,1.07871,0.0011885,0.0011885,0.0011885
19,1864.46,1.16338,0.63813,1.06659,0.96208,0.61039,0.65432,0.44331,1.16852,0.55825,1.07598,0.00117435,0.00117435,0.00117435
20,1961.69,1.15505,0.63044,1.05644,0.9606,0.61669,0.65923,0.45145,1.15685,0.54083,1.07372,0.00116021,0.00116021,0.00116021
21,2059.17,1.15724,0.61657,1.05715,0.96158,0.61902,0.65625,0.44786,1.14901,0.53529,1.07038,0.00114606,0.00114606,0.00114606
22,2155.42,1.1538,0.62017,1.05953,0.95753,0.61966,0.65562,0.44554,1.15553,0.53518,1.07506,0.00113191,0.00113191,0.00113191
23,2251.21,1.15432,0.61512,1.05838,0.96494,0.61262,0.65479,0.45172,1.14542,0.52541,1.06609,0.00111776,0.00111776,0.00111776
24,2345.74,1.1479,0.60982,1.06014,0.96472,0.61722,0.65597,0.44908,1.15056,0.53133,1.07604,0.00110362,0.00110362,0.00110362
25,2441.81,1.13992,0.60694,1.0572,0.96206,0.62354,0.6568,0.44863,1.15755,0.53934,1.08007,0.00108947,0.00108947,0.00108947
26,2536.67,1.15078,0.60875,1.05884,0.9613,0.62178,0.65954,0.45184,1.1529,0.53225,1.08263,0.00107532,0.00107532,0.00107532
27,2631.81,1.14418,0.60415,1.05553,0.96056,0.62343,0.66167,0.45243,1.15214,0.52652,1.07564,0.00106118,0.00106118,0.00106118
28,2727.95,1.13688,0.59737,1.05107,0.96327,0.61916,0.65923,0.45548,1.14553,0.51524,1.07234,0.00104703,0.00104703,0.00104703
29,2823.13,1.13523,0.59293,1.05431,0.96018,0.61683,0.6567,0.45321,1.14595,0.52,1.07422,0.00103288,0.00103288,0.00103288
30,2918.69,1.13244,0.59207,1.05502,0.96364,0.61964,0.65661,0.45174,1.15217,0.52706,1.08029,0.00101873,0.00101873,0.00101873
31,3014.47,1.13801,0.59448,1.05424,0.96343,0.61931,0.65844,0.45729,1.1448,0.51265,1.07396,0.00100459,0.00100459,0.00100459
32,3109.35,1.12329,0.58303,1.04885,0.96333,0.62321,0.66154,0.45559,1.14288,0.50995,1.0742,0.00099044,0.00099044,0.00099044
33,3205.36,1.12343,0.5771,1.04859,0.96732,0.62269,0.65851,0.4554,1.14039,0.50282,1.07212,0.000976293,0.000976293,0.000976293
34,3300.7,1.11469,0.58152,1.04718,0.96096,0.6243,0.65747,0.45338,1.14274,0.51067,1.07427,0.000962146,0.000962146,0.000962146
35,3396.62,1.10766,0.57173,1.03847,0.96556,0.62248,0.65862,0.45702,1.13187,0.5008,1.07081,0.000947999,0.000947999,0.000947999
36,3491.17,1.11641,0.57589,1.04326,0.96049,0.62658,0.65732,0.45359,1.14092,0.50505,1.07063,0.000933851,0.000933851,0.000933851
37,3587.31,1.11873,0.57928,1.04507,0.96091,0.62216,0.65815,0.45267,1.14647,0.50629,1.07166,0.000919704,0.000919704,0.000919704
38,3682.22,1.10484,0.56587,1.03873,0.9653,0.62446,0.65917,0.45696,1.13563,0.49467,1.07045,0.000905557,0.000905557,0.000905557
39,3777.89,1.09177,0.55644,1.03585,0.9655,0.62099,0.65986,0.45711,1.13437,0.49889,1.06923,0.00089141,0.00089141,0.00089141
40,3873.2,1.09566,0.55862,1.03433,0.95835,0.63042,0.66066,0.45863,1.13359,0.49735,1.07197,0.000877263,0.000877263,0.000877263
41,3968.82,1.09862,0.56053,1.03964,0.96527,0.6219,0.65944,0.46003,1.13256,0.49186,1.06632,0.000863116,0.000863116,0.000863116
42,4064.03,1.09659,0.55897,1.03393,0.96043,0.62275,0.66501,0.46305,1.12846,0.49532,1.06771,0.000848969,0.000848969,0.000848969
43,4159.91,1.09371,0.55788,1.03664,0.96322,0.62588,0.66006,0.45816,1.13661,0.48993,1.07087,0.000834822,0.000834822,0.000834822
44,4256.72,1.0895,0.55313,1.03653,0.96296,0.62372,0.66051,0.45922,1.13333,0.49234,1.07161,0.000820675,0.000820675,0.000820675
45,4355.58,1.08295,0.55205,1.03234,0.96473,0.62511,0.6613,0.45908,1.13529,0.48329,1.07191,0.000806528,0.000806528,0.000806528
46,4454.49,1.0812,0.53918,1.02823,0.96463,0.62819,0.66152,0.46093,1.12679,0.48308,1.06475,0.00079238,0.00079238,0.00079238
47,4549.57,1.08514,0.54572,1.02939,0.63587,0.65747,0.66427,0.4615,1.12636,0.48434,1.06408,0.000778233,0.000778233,0.000778233
48,4643.99,1.07948,0.54296,1.02672,0.60321,0.69179,0.66853,0.46301,1.13046,0.48577,1.06758,0.000764086,0.000764086,0.000764086
49,4739.6,1.07582,0.5409,1.02563,0.62559,0.64972,0.66209,0.46299,1.12331,0.48035,1.06245,0.000749939,0.000749939,0.000749939
50,4834.63,1.07686,0.5316,1.02558,0.96758,0.62327,0.66144,0.46066,1.13525,0.48369,1.06548,0.000735792,0.000735792,0.000735792
51,4930.82,1.06172,0.53168,1.02264,0.60875,0.65697,0.65832,0.46251,1.12361,0.48245,1.06396,0.000721645,0.000721645,0.000721645
52,5029.79,1.07256,0.53222,1.02418,0.96407,0.6287,0.65973,0.46096,1.12468,0.47974,1.06544,0.000707498,0.000707498,0.000707498
53,5125.55,1.06468,0.53405,1.0231,0.61853,0.65441,0.66167,0.46146,1.1304,0.48171,1.06463,0.000693351,0.000693351,0.000693351
54,5221.53,1.07504,0.53201,1.02626,0.63487,0.62595,0.65976,0.46048,1.12706,0.48088,1.0652,0.000679204,0.000679204,0.000679204
55,5316.98,1.06808,0.52562,1.02634,0.63523,0.62313,0.65943,0.46107,1.13104,0.4833,1.06596,0.000665057,0.000665057,0.000665057
56,5412.97,1.05683,0.52199,1.01845,0.65292,0.63636,0.66026,0.46245,1.127,0.4824,1.06626,0.000650909,0.000650909,0.000650909
57,5510.15,1.05978,0.52129,1.01815,0.62915,0.65582,0.6624,0.46341,1.12611,0.47904,1.0622,0.000636762,0.000636762,0.000636762
58,5608.04,1.05583,0.51417,1.02023,0.65103,0.64211,0.66232,0.46338,1.12731,0.47802,1.06428,0.000622615,0.000622615,0.000622615
59,5706.33,1.04794,0.51372,1.01558,0.6315,0.62709,0.66093,0.46099,1.12701,0.47453,1.06574,0.000608468,0.000608468,0.000608468
60,5804.6,1.04771,0.51481,1.01848,0.60554,0.67172,0.66077,0.46354,1.1251,0.47599,1.06578,0.000594321,0.000594321,0.000594321
61,5901.17,1.04479,0.51351,1.01321,0.64011,0.63774,0.66108,0.46327,1.12824,0.47572,1.06745,0.000580174,0.000580174,0.000580174
62,6000.19,1.04846,0.51436,1.01318,0.61499,0.66417,0.65996,0.46147,1.12578,0.47578,1.06653,0.000566027,0.000566027,0.000566027
63,6098.8,1.04549,0.50849,1.01491,0.62102,0.65178,0.6612,0.4619,1.12993,0.47853,1.06839,0.00055188,0.00055188,0.00055188
64,6197.11,1.03872,0.50194,1.01351,0.61184,0.65733,0.65963,0.46152,1.13205,0.47796,1.06773,0.000537733,0.000537733,0.000537733
65,6295.32,1.03917,0.50517,1.01159,0.65086,0.63269,0.66128,0.46475,1.12397,0.47303,1.06429,0.000523586,0.000523586,0.000523586
66,6394.57,1.03116,0.49565,1.00833,0.61876,0.65638,0.65873,0.46138,1.12737,0.47464,1.06626,0.000509438,0.000509438,0.000509438
67,6493.41,1.02381,0.49386,1.00431,0.64626,0.62666,0.65927,0.46297,1.12335,0.47304,1.065,0.000495291,0.000495291,0.000495291
68,6591.87,1.02604,0.49692,1.01018,0.63925,0.64198,0.66063,0.4638,1.12707,0.47406,1.06491,0.000481144,0.000481144,0.000481144
69,6691.78,1.02355,0.49323,1.00662,0.66109,0.63539,0.66041,0.46202,1.12991,0.47368,1.067,0.000466997,0.000466997,0.000466997
70,6791.46,1.02647,0.49254,1.01101,0.62896,0.6521,0.66161,0.46297,1.12616,0.47308,1.0686,0.00045285,0.00045285,0.00045285
